Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
01/02/2020,296.24,300.6,295.19,300.35,33920004,0.0,0.0,0.0,0.0,/,/
01/03/2020,297.15,300.58,296.5,297.43,36633995,0.0,0.0,0.0,0.0,/,/
01/06/2020,293.79,299.96,292.75,299.8,29644779,0.0,0.0,0.0,0.0,/,/
01/07/2020,299.84,300.9,297.48,298.39,27885664,0.0,0.0,0.0,0.0,/,/
01/08/2020,297.16,304.4399,297.156,303.19,33091741,0.0,0.0,0.0,0.0,/,/
01/09/2020,307.235,310.43,306.2,309.63,42625095,0.0,0.0,0.0,0.0,/,/
01/10/2020,310.6,312.67,308.25,310.33,35217665,0.0,0.0,0.0,0.0,/,/
01/13/2020,311.64,317.07,311.15,316.96,30522828,0.0,0.0,0.0,0.0,/,/
01/14/2020,316.7,317.57,312.17,312.68,40653854,0.0,0.0,0.0,0.0,/,/
01/15/2020,311.85,315.5,309.55,311.34,30482252,0.0,0.0,0.0,0.0,/,/
01/16/2020,313.59,315.7,312.09,315.24,27648235,0.0,0.0,0.0,0.0,/,/
01/17/2020,316.27,318.74,315.0,318.73,34454740,0.0,0.0,0.0,0.0,/,/
01/21/2020,317.19,319.02,316.0,316.57,27711083,0.0,0.0,0.0,0.0,/,/
01/22/2020,318.58,319.99,317.31,317.7,25458245,0.0,0.0,0.0,0.0,/,/
01/23/2020,317.92,319.56,315.65,319.23,26118353,71.9,0.0,0.0,0.0,/,/
01/24/2020,320.25,323.33,317.5188,318.31,36636199,75.4,0.0,0.0,0.0,/,/
01/27/2020,310.06,311.77,304.88,308.95,40489163,59.51,0.0,0.0,0.0,/,/
01/28/2020,312.6,318.4,312.19,317.69,40559147,67.41,0.0,0.0,0.0,/,/
01/29/2020,324.45,327.85,321.38,324.34,54150234,68.47,0.0,0.0,0.0,/,/
01/30/2020,320.5435,324.09,318.75,323.87,31686307,63.88,0.0,0.0,0.0,/,/
01/31/2020,320.93,322.68,308.29,309.51,49898233,49.37,0.0,0.0,0.0,/,/
02/03/2020,304.3,313.49,302.22,308.66,43503666,42.99,0.0,0.0,0.0,/,/
02/04/2020,315.31,319.64,313.6345,318.85,34154409,54.74,0.0,0.0,0.0,/,/
02/05/2020,323.52,324.76,318.95,321.45,29707604,57.62,0.0,0.0,0.0,/,/
02/06/2020,322.57,325.22,320.2648,325.21,26357211,57.53,0.0,0.0,0.0,/,/
02/07/2020,322.37,323.4,318.0,320.03,29422352,50.96,4.16,0.0,0.0,/,/
02/10/2020,314.18,321.55,313.85,321.55,27338795,53.7,4.14,0.0,0.0,/,/
02/11/2020,323.6,323.9,318.71,319.61,23581774,51.4,3.93,0.0,0.0,/,/
02/12/2020,321.47,327.22,321.47,327.2,28434424,55.38,4.33,0.0,0.0,/,/
02/13/2020,324.38,326.22,323.35,324.87,23928762,54.34,4.4,0.0,0.0,/,/
02/14/2020,324.74,325.98,322.85,324.95,20028499,62.07,4.41,0.0,0.0,/,/
02/18/2020,315.36,319.75,314.61,319.0,38195938,51.03,3.9,0.0,0.0,/,/
02/19/2020,320.0,324.57,320.0,323.62,23496268,49.41,3.82,0.0,0.0,/,/
02/20/2020,322.63,324.65,318.21,320.3,25641564,47.22,3.45,0.0,0.0,/,/
02/21/2020,318.62,320.45,310.5,313.05,32426415,53.1,2.54,0.51,2.03,/,/
02/24/2020,297.26,304.18,289.23,298.18,55652191,42.64,0.62,0.53,0.09,/,/
02/25/2020,300.95,302.53,286.13,288.08,57670139,28.36,-1.7,0.08,-1.78,/,/
02/26/2020,286.53,297.88,286.5,292.65,49680634,30.3,-3.13,-0.56,-2.57,/,/
02/27/2020,281.1,286.0,272.96,273.52,80156758,20.78,-5.74,-1.6,-4.14,/,/
02/28/2020,257.26,278.41,256.37,273.36,106725024,22.03,-7.73,-2.83,-4.9,/,/
03/02/2020,282.28,301.44,277.72,298.81,85367181,39.41,-7.18,-3.7,-3.48,/,/
03/03/2020,303.67,304.0,285.8,289.17,79878015,36.77,-7.44,-4.45,-2.99,/,/
03/04/2020,296.44,303.4,293.13,302.74,55234161,39.9,-6.48,-4.86,-1.62,/,/
03/05/2020,295.52,299.55,291.41,292.92,46894171,37.57,-6.43,-5.17,-1.26,/,/
03/06/2020,282.0,290.82,281.23,288.95,56544791,36.41,-6.63,-5.46,-1.17,/,/
03/09/2020,263.75,278.09,263.0,266.17,71687418,32.3,-8.54,-6.08,-2.46,/,/
03/10/2020,277.14,286.44,269.37,285.34,71365968,38.32,-8.41,-6.55,-1.86,/,/
03/11/2020,277.39,281.22,271.86,275.43,64095170,36.83,-8.99,-7.04,-1.95,/,/
03/12/2020,255.94,270.0,248.0,248.23,104618759,32.97,-11.52,-7.94,-3.58,/,/
03/13/2020,264.89,279.92,252.95,277.97,92722509,45.08,-11.0,-8.55,-2.45,/,/
03/16/2020,241.95,259.08,240.0,242.21,80723546,40.07,-13.32,-9.5,-3.82,/,/
03/17/2020,247.51,257.61,238.4,252.63,81016640,41.55,-14.16,-10.43,-3.73,/,/
03/18/2020,239.77,250.0,237.12,246.67,75059273,43.99,-15.12,-11.37,-3.75,/,/
03/19/2020,247.385,252.84,242.61,244.78,67987310,43.66,-15.86,-12.27,-3.59,/,/
03/20/2020,247.18,251.83,228.0,229.24,100425982,33.85,-17.5,-13.32,-4.18,/,/
03/23/2020,228.08,228.4997,212.61,224.37,84242403,34.62,-18.97,-14.45,-4.52,/,/
03/24/2020,236.36,247.69,234.3,246.6,71889671,37.2,-18.13,-15.19,-2.94,/,/
03/25/2020,250.75,258.25,244.3,245.52,75901026,38.74,-17.35,-15.62,-1.73,/,/
03/26/2020,246.52,258.68,246.36,258.46,63140535,43.05,-15.51,-15.6,0.09,/,/
03/27/2020,252.75,255.87,247.05,247.74,51054174,45.56,-14.75,-15.43,0.68,/,/
03/30/2020,250.74,255.52,249.4,254.81,41995845,42.19,-13.42,-15.03,1.61,/,/
03/31/2020,255.6,262.49,252.0,254.29,49300561,44.32,-12.26,-14.48,2.22,/,/
04/01/2020,246.5,248.72,239.13,240.91,44061423,47.87,-12.29,-14.04,1.75,/,/
04/02/2020,240.34,245.15,236.9,244.93,41491365,38.72,-11.84,-13.6,1.76,/,/
04/03/2020,242.8,245.7,238.9741,241.41,32470218,49.65,-11.64,-13.21,1.57,/,/
04/06/2020,250.9,263.11,249.38,262.47,50455302,53.94,-9.68,-12.5,2.82,/,/
04/07/2020,270.8,271.7,259.0,259.43,50727647,55.23,-8.27,-11.65,3.38,/,/
