Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist
2020-01-02,1875.0,1898.01,1864.15,1898.01,4035976,0.0,0.0,0.0,0.0
2020-01-03,1864.5,1886.1965,1864.5,1874.97,3766604,0.0,0.0,0.0,0.0
2020-01-06,1860.0,1903.69,1860.0,1902.88,4066751,0.0,0.0,0.0,0.0
2020-01-07,1904.5,1913.89,1892.0433,1906.86,4134020,0.0,0.0,0.0,0.0
2020-01-08,1898.04,1910.9999,1886.4448,1891.97,3511982,0.0,0.0,0.0,0.0
2020-01-09,1909.89,1917.82,1895.8038,1901.05,3174964,0.0,0.0,0.0,0.0
2020-01-10,1905.37,1906.94,1880.0,1883.16,2861319,0.0,0.0,0.0,0.0
2020-01-13,1891.31,1898.0,1880.8,1891.3,2785904,0.0,0.0,0.0,0.0
2020-01-14,1885.88,1887.11,1858.55,1869.44,3446425,0.0,0.0,0.0,0.0
2020-01-15,1872.25,1878.86,1855.09,1862.02,2896594,0.0,0.0,0.0,0.0
2020-01-16,1882.99,1885.59,1866.02,1877.94,2659615,0.0,0.0,0.0,0.0
2020-01-17,1885.89,1886.64,1857.25,1864.72,3997352,0.0,0.0,0.0,0.0
2020-01-21,1865.0,1894.27,1860.0,1892.0,3707827,0.0,0.0,0.0,0.0
2020-01-22,1896.09,1902.5,1883.34,1887.46,3216269,0.0,0.0,0.0,0.0
2020-01-23,1885.11,1889.975,1872.76,1884.58,2484706,46.61,0.0,0.0,0.0
2020-01-24,1891.37,1894.99,1847.44,1861.64,3766199,46.63,0.0,0.0,0.0
2020-01-27,1820.0,1841.0,1815.34,1828.34,3528562,31.67,0.0,0.0,0.0
2020-01-28,1840.5,1858.11,1830.02,1853.25,2808044,38.05,0.0,0.0,0.0
2020-01-29,1864.0,1874.75,1855.02,1858.0,2101507,42.07,0.0,0.0,0.0
2020-01-30,1858.0,1872.87,1850.61,1870.68,6327458,43.03,0.0,0.0,0.0
2020-01-31,2051.47,2055.72,2002.27,2008.72,15578864,68.58,0.0,0.0,0.0
2020-02-03,2010.6,2048.5,2000.25,2004.2,5899281,66.89,0.0,0.0,0.0
2020-02-04,2029.88,2059.8,2015.37,2049.67,5292606,75.18,0.0,0.0,0.0
2020-02-05,2071.02,2071.02,2032.0,2039.87,4376301,74.68,0.0,0.0,0.0
2020-02-06,2041.02,2056.3,2024.8001,2050.23,3182954,74.29,0.0,0.0,0.0
2020-02-07,2041.99,2098.53,2038.1,2079.28,5095576,78.95,53.11,0.0,0.0
2020-02-10,2085.01,2135.6,2084.96,2133.91,5056425,80.4,61.42,0.0,0.0
2020-02-11,2150.9,2185.95,2136.0,2150.8,5749397,82.1,68.58,0.0,0.0
2020-02-12,2163.2,2180.2494,2155.29,2160.0,3334269,83.06,74.15,0.0,0.0
2020-02-13,2144.99,2170.28,2142.0,2149.87,3031807,85.7,76.85,0.0,0.0
2020-02-14,2155.68,2159.0352,2125.89,2134.87,2606171,89.76,76.9,0.0,0.0
2020-02-18,2125.02,2166.07,2124.105,2155.67,2997864,89.65,77.72,0.0,0.0
2020-02-19,2167.8,2185.1,2161.12,2170.22,2561211,89.91,78.64,0.0,0.0
2020-02-20,2173.07,2176.79,2127.45,2153.13,3131346,85.71,77.1,0.0,0.0
2020-02-21,2142.15,2144.55,2088.0,2095.97,4650785,63.86,70.46,14.09,56.37
2020-02-24,2003.18,2039.295,1987.9742,2009.29,6547120,50.64,57.54,22.78,34.76
2020-02-25,2026.42,2034.6,1958.42,1972.74,6321915,40.08,43.84,26.99,16.85
2020-02-26,1970.28,2014.67,1960.45,1979.59,5240726,42.17,33.16,28.22,4.94
2020-02-27,1934.38,1975.0,1882.7621,1884.3,8204372,32.34,16.81,25.94,-9.13
2020-02-28,1814.63,1889.76,1811.129,1883.75,9497307,27.85,3.76,21.5,-17.74
2020-03-02,1906.49,1954.51,1870.0,1953.95,6761459,30.31,-0.91,17.02,-17.93
2020-03-03,1975.37,1996.33,1888.0901,1908.99,7534631,25.07,-8.14,11.99,-20.13
2020-03-04,1946.57,1978.0,1922.0,1975.83,4807020,33.03,-8.37,7.92,-16.29
2020-03-05,1933.0,1960.72,1910.0,1924.03,4748783,30.67,-12.59,3.82,-16.41
2020-03-06,1875.0,1910.87,1869.5,1900.295,5273615,30.22,-17.65,-0.47,-17.18
2020-03-09,1773.86,1862.77,1761.2901,1800.61,7813342,23.58,-29.37,-6.25,-23.12
2020-03-10,1870.88,1894.27,1818.17,1891.82,7165316,31.41,-30.94,-11.19,-19.75
2020-03-11,1857.85,1871.3194,1801.5,1820.86,5646892,29.3,-37.48,-16.45,-21.03
2020-03-12,1721.98,1765.0,1675.0,1675.61,11357359,26.4,-53.76,-23.91,-29.85
2020-03-13,1755.0,1786.31,1680.62,1785.0,8811777,37.72,-57.18,-30.56,-26.62
2020-03-16,1641.51,1759.4519,1626.0318,1689.15,8936577,35.42,-66.85,-37.82,-29.03
2020-03-17,1775.47,1857.775,1689.2402,1807.84,10917398,42.08,-64.19,-43.09,-21.1
2020-03-18,1750.0,1841.66,1745.0,1831.665,9645483,47.4,-59.48,-46.37,-13.11
2020-03-19,1860.0,1945.0,1832.65,1880.93,10400220,49.87,-51.18,-47.33,-3.85
2020-03-20,1926.31,1957.0,1820.73,1846.09,9817858,44.75,-46.88,-47.24,0.36
2020-03-23,1827.75,1919.4,1812.0,1902.83,7808494,49.7,-38.44,-45.48,7.04
2020-03-24,1951.495,1955.0,1900.3403,1940.1,7147083,48.23,-28.42,-42.07,13.65
2020-03-25,1923.35,1950.26,1885.78,1885.84,6479138,48.11,-24.58,-38.57,13.99
2020-03-26,1902.0,1956.49,1889.29,1955.49,6235121,52.61,-15.74,-34.0,18.26
2020-03-27,1930.86,1939.79,1899.92,1900.1,5388341,54.91,-13.04,-29.81,16.77
2020-03-30,1922.83,1973.63,1912.34,1963.95,6126339,53.66,-5.68,-24.98,19.3
2020-03-31,1964.35,1993.02,1944.01,1949.72,5123759,56.94,-0.99,-20.18,19.19
2020-04-01,1932.97,1944.96,1893.0,1907.7,4122195,64.06,-0.66,-16.28,15.62
2020-04-02,1901.64,1927.5258,1890.0,1918.83,4336003,59.2,0.5,-12.92,13.42
2020-04-03,1911.15,1926.33,1889.15,1906.59,3609870,66.9,0.42,-10.25,10.67
