Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist
2020-01-02,158.78,160.73,158.33,160.62,22634742,0.0,0.0,0.0,0.0
2020-01-03,158.32,159.945,158.06,158.62,21121681,0.0,0.0,0.0,0.0
2020-01-06,157.08,159.1,156.51,159.03,20827251,0.0,0.0,0.0,0.0
2020-01-07,159.32,159.67,157.32,157.58,21881759,0.0,0.0,0.0,0.0
2020-01-08,158.93,160.8,157.9491,160.09,27762126,0.0,0.0,0.0,0.0
2020-01-09,161.835,162.215,161.03,162.09,21400194,0.0,0.0,0.0,0.0
2020-01-10,162.8235,163.22,161.18,161.34,21109422,0.0,0.0,0.0,0.0
2020-01-13,161.76,163.31,161.26,163.28,21637984,0.0,0.0,0.0,0.0
2020-01-14,163.25,163.6,161.72,162.13,23500793,0.0,0.0,0.0,0.0
2020-01-15,162.62,163.94,162.57,163.18,21418641,0.0,0.0,0.0,0.0
2020-01-16,164.35,166.24,164.03,166.17,23865761,0.0,0.0,0.0,0.0
2020-01-17,167.42,167.4675,165.43,167.1,34771790,0.0,0.0,0.0,0.0
2020-01-21,166.68,168.19,166.43,166.5,29541911,0.0,0.0,0.0,0.0
2020-01-22,167.4,167.49,165.68,165.7,24139026,0.0,0.0,0.0,0.0
2020-01-23,166.19,166.8,165.27,166.72,19680766,65.56,0.0,0.0,0.0
2020-01-24,167.51,167.53,164.45,165.04,24918717,66.65,0.0,0.0,0.0
2020-01-27,161.15,163.375,160.2,162.28,32113287,57.51,0.0,0.0,0.0
2020-01-28,163.78,165.755,163.073,165.46,24900054,66.87,0.0,0.0,0.0
2020-01-29,167.84,168.75,165.69,168.04,35127841,66.97,0.0,0.0,0.0
2020-01-30,174.05,174.05,170.79,172.78,51598681,70.42,0.0,0.0,0.0
2020-01-31,172.21,172.4,169.58,170.23,36142809,65.89,0.0,0.0,0.0
2020-02-03,170.43,174.5,170.4,174.38,30149875,68.39,0.0,0.0,0.0
2020-02-04,177.14,180.64,176.31,180.12,36433374,75.87,0.0,0.0,0.0
2020-02-05,184.03,184.2,178.4101,179.9,39186674,74.63,0.0,0.0,0.0
2020-02-06,180.97,183.8199,180.059,183.63,27756128,75.17,0.0,0.0,0.0
2020-02-07,182.845,185.63,182.48,183.89,33529084,74.68,6.45,0.0,0.0
2020-02-10,183.58,188.84,183.25,188.7,35844342,79.04,7.08,0.0,0.0
2020-02-11,190.65,190.7,183.5,184.44,53161455,72.48,7.15,0.0,0.0
2020-02-12,185.58,185.85,181.85,184.71,47078131,71.98,7.14,0.0,0.0
2020-02-13,183.08,186.23,182.872,183.71,35295834,73.19,6.97,0.0,0.0
2020-02-14,183.25,185.41,182.65,185.35,23149716,79.48,6.89,0.0,0.0
2020-02-18,185.605,187.7,184.34,187.23,27854794,78.77,6.9,0.0,0.0
2020-02-19,188.06,188.18,186.47,187.28,29997471,77.25,6.83,0.0,0.0
2020-02-20,186.95,187.25,181.1,184.42,36862608,67.41,6.48,0.0,0.0
2020-02-21,183.17,183.5,177.25,178.59,48623681,61.39,5.66,1.13,4.53
2020-02-24,167.77,174.55,163.23,170.89,68312367,45.66,4.34,1.77,2.57
2020-02-25,174.2,174.84,167.6462,168.07,68073512,33.86,3.04,2.02,1.02
2020-02-26,169.71,173.26,168.21,170.17,56388043,37.59,2.15,2.05,0.1
2020-02-27,163.32,167.03,157.98,158.18,93175914,23.19,0.46,1.73,-1.27
2020-02-28,152.41,163.71,152.0,162.01,97124619,28.57,-0.55,1.27,-1.82
2020-03-02,165.31,172.92,162.31,172.79,71108311,36.05,-0.48,0.92,-1.4
2020-03-03,173.8,175.0,162.26,164.51,71679110,33.67,-1.08,0.52,-1.6
2020-03-04,168.485,170.7,165.62,170.55,50594270,39.4,-1.06,0.2,-1.26
2020-03-05,166.045,170.87,165.69,166.27,47817612,37.56,-1.37,-0.11,-1.26
2020-03-06,162.61,163.11,156.0,161.57,72821542,33.74,-1.97,-0.48,-1.49
2020-03-09,151.0,157.75,150.0,150.58,70419416,27.72,-3.3,-1.04,-2.26
2020-03-10,158.16,161.03,152.58,160.92,65354439,35.76,-3.47,-1.53,-1.94
2020-03-11,157.13,157.7,151.15,153.63,56504345,34.12,-4.15,-2.05,-2.1
2020-03-12,145.3,153.47,138.58,139.06,93231988,31.3,-5.8,-2.8,-3.0
2020-03-13,147.5,161.91,140.73,158.8438,92789858,44.89,-5.45,-3.33,-2.12
2020-03-16,140.0,149.35,135.0,135.42,88245902,38.2,-6.98,-4.06,-2.92
2020-03-17,140.0,147.4998,135.0,146.57,81059827,42.0,-7.21,-4.69,-2.52
2020-03-18,138.0,146.0,135.02,143.6038,81593273,44.73,-7.54,-5.26,-2.28
2020-03-19,142.77,150.15,139.0,143.0,85935177,42.97,-7.76,-5.76,-2.0
2020-03-20,146.0,147.1,135.86,137.35,84866265,36.38,-8.3,-6.27,-2.03
2020-03-23,137.01,140.57,132.52,135.98,79059088,38.42,-8.74,-6.76,-1.98
2020-03-24,143.75,149.6,141.27,148.38,82576889,41.44,-8.0,-7.01,-0.99
2020-03-25,148.91,154.33,144.44,146.92,75638421,42.36,-7.44,-7.1,-0.34
2020-03-26,148.4,156.66,148.37,155.88,64705520,47.83,-6.2,-6.92,0.72
2020-03-27,151.75,154.89,149.2,149.7,57042493,49.65,-5.65,-6.67,1.02
2020-03-30,152.44,160.6,150.01,160.23,63428959,49.73,-4.32,-6.2,1.88
2020-03-31,159.4,164.78,156.56,157.71,77963862,51.68,-3.42,-5.64,2.22
2020-04-01,153.0,157.75,150.82,152.11,57975642,55.79,-3.13,-5.14,2.01
2020-04-02,151.86,155.48,150.36,155.26,49630906,48.13,-2.61,-4.63,2.02
2020-04-03,155.1,157.38,152.19,153.9,41244752,62.5,-2.29,-4.16,1.87
2020-04-06,160.32,166.5,157.58,165.33,67112005,62.64,-1.1,-3.55,2.45
2020-04-07,169.585,170.0,163.26,163.49,62780396,63.61,-0.3,-2.9,2.6
