Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
2020-01-02,424.5,430.6957,421.71,430.26,9558410,0.0,0.0,0.0,0.0,/,0.0
2020-01-03,440.5,454.0,436.92,443.01,17801880,0.0,0.0,0.0,0.0,/,0.0
2020-01-06,440.47,451.56,440.0,451.5,10174685,0.0,0.0,0.0,0.0,/,0.0
2020-01-07,461.4,471.63,453.355,469.06,18214838,0.0,0.0,0.0,0.0,/,0.0
2020-01-08,473.7,498.49,468.23,492.14,31235728,0.0,0.0,0.0,0.0,/,0.0
2020-01-09,497.1,498.8,472.87,481.34,28488103,0.0,0.0,0.0,0.0,/,0.0
2020-01-10,481.79,484.94,473.7,478.15,12982446,0.0,0.0,0.0,0.0,/,0.0
2020-01-13,493.5,525.63,492.0,524.86,26638003,0.0,0.0,0.0,0.0,/,0.0
2020-01-14,544.255,547.41,524.9,537.92,29105836,0.0,0.0,0.0,0.0,/,0.0
2020-01-15,529.76,537.84,516.7853,518.5,17368901,0.0,0.0,0.0,0.0,/,0.0
2020-01-16,493.75,514.46,492.17,513.49,21737394,0.0,0.0,0.0,0.0,/,0.0
2020-01-17,507.61,515.6699,503.16,510.5,13667901,0.0,0.0,0.0,0.0,/,0.0
2020-01-21,530.25,548.58,528.41,547.2,17803471,0.0,0.0,0.0,0.0,/,0.0
2020-01-22,571.89,594.5,559.1,569.56,31408974,0.0,0.0,0.0,0.0,/,0.0
2020-01-23,564.25,582.0,555.6027,572.2,19706029,81.58,0.0,0.0,0.0,/,0.0
2020-01-24,570.63,573.86,554.26,564.82,14354157,77.76,0.0,0.0,0.0,/,0.0
2020-01-27,541.99,564.44,539.28,558.02,13637136,74.46,0.0,0.0,0.0,/,0.0
2020-01-28,568.49,576.81,558.08,566.9,11791398,73.4,0.0,0.0,0.0,/,0.0
2020-01-29,575.69,589.7999,567.43,580.99,18217956,72.21,0.0,0.0,0.0,/,0.0
2020-01-30,632.24,650.88,618.0,640.81,29087032,82.02,0.0,0.0,0.0,/,0.0
2020-01-31,638.595,653.0,632.52,650.57,15724989,83.73,0.0,0.0,0.0,/,0.0
2020-02-03,673.69,786.14,673.52,780.0,47316151,87.7,0.0,0.0,0.0,/,0.0
2020-02-04,882.96,968.9899,833.88,887.06,61049460,90.38,0.0,0.0,0.0,/,0.0
2020-02-05,823.26,845.98,704.1106,734.7,48453586,69.12,0.0,0.0,0.0,/,0.0
2020-02-06,699.92,795.83,687.0,748.96,39881797,70.49,0.0,0.0,0.0,/,0.0
2020-02-07,730.55,769.75,730.0,748.07,17132210,70.75,96.56,0.0,0.0,/,0.0
2020-02-10,800.0,819.99,752.4,771.28,24715423,70.05,96.19,0.0,0.0,/,0.0
2020-02-11,768.79,783.5061,758.0,774.38,11697523,68.98,95.05,0.0,0.0,/,0.0
2020-02-12,777.87,789.75,763.37,767.29,12038070,67.93,92.52,0.0,0.0,/,0.0
2020-02-13,741.84,818.0,735.0,804.0,26289354,70.85,92.41,0.0,0.0,/,0.0
2020-02-14,787.22,812.97,785.5,800.03,15706911,71.21,90.95,0.0,0.0,/,0.0
2020-02-18,841.6,860.0,832.36,858.4,16701060,73.5,93.43,0.0,0.0,/,0.0
2020-02-19,923.5,944.78,901.02,917.42,25430664,75.29,99.01,0.0,0.0,/,0.0
2020-02-20,911.95,912.0,859.94,899.41,17635067,70.75,100.82,0.0,0.0,/,0.0
2020-02-21,906.98,913.06,880.45,901.0,14339859,70.36,101.22,20.24,80.98,/,0.0
2020-02-24,839.0,863.5,822.2,833.79,15192274,54.86,95.01,35.19,59.82,/,0.0
2020-02-25,849.0,856.6,787.0,799.91,17323981,40.92,86.37,45.43,40.94,/,0.0
2020-02-26,782.5,813.31,776.11,778.8,14163418,56.33,76.93,51.73,25.2,/,0.0
2020-02-27,730.0,739.77,669.0,679.0,24277903,41.94,60.7,53.52,7.18,/,0.0
2020-02-28,629.7,690.52,611.52,667.99,24571473,40.98,46.41,52.1,-5.69,/,0.0
2020-03-02,711.26,743.69,686.67,743.62,20204181,47.21,40.72,49.82,-9.1,/,0.0
2020-03-03,805.0,806.98,716.1106,745.51,25794609,47.09,35.95,47.05,-11.1,/,0.0
2020-03-04,763.9603,766.52,724.7345,749.5,15049036,48.19,32.11,44.06,-11.95,/,0.0
2020-03-05,723.77,745.75,718.07,724.54,10854217,41.73,26.75,40.6,-13.85,/,0.0
2020-03-06,690.0035,707.0,684.27,703.48,12663318,40.3,20.57,36.59,-16.02,/,0.0
2020-03-09,606.26,662.998,605.0,608.0,17103201,26.58,7.87,30.85,-22.98,/,0.0
2020-03-10,659.43,668.0,608.0,645.33,15594488,23.48,0.81,24.84,-24.03,/,0.0
2020-03-11,640.2,653.58,613.0,634.23,13458045,23.8,-5.61,18.75,-24.36,/,0.0
