Date,Open,High,Low,Close,Assets,Buy,Sell
2020-01-02,158.78,160.73,158.33,160.62,1000.0,0,0
2020-01-03,158.32,159.945,158.06,158.62,1000.0,0,0
2020-01-06,157.08,159.1,156.51,159.03,1000.0,0,0
2020-01-07,159.32,159.67,157.32,157.58,1000.0,0,0
2020-01-08,158.93,160.8,157.9491,160.09,1000.0,0,0
2020-01-09,161.835,162.215,161.03,162.09,1000.0,0,0
2020-01-10,162.8235,163.22,161.18,161.34,1000.0,0,0
2020-01-13,161.76,163.31,161.26,163.28,1000.0,0,0
2020-01-14,163.25,163.6,161.72,162.13,1000.0,0,0
2020-01-15,162.62,163.94,162.57,163.18,1000.0,0,0
2020-01-16,164.35,166.24,164.03,166.17,1000.0,0,0
2020-01-17,167.42,167.4675,165.43,167.1,1000.0,0,0
2020-01-21,166.68,168.19,166.43,166.5,1000.0,0,0
2020-01-22,167.4,167.49,165.68,165.7,1000.0,0,0
2020-01-23,166.19,166.8,165.27,166.72,1000.0,0,0
2020-01-24,167.51,167.53,164.45,165.04,1000.0,0,0
2020-01-27,161.15,163.375,160.2,162.28,1000.0,0,0
2020-01-28,163.78,165.755,163.073,165.46,1000.0,0,0
2020-01-29,167.84,168.75,165.69,168.04,1000.0,0,0
2020-01-30,174.05,174.05,170.79,172.78,1000.0,0,0
2020-01-31,172.21,172.4,169.58,170.23,1000.0,0,0
2020-02-03,170.43,174.5,170.4,174.38,1000.0,0,0
2020-02-04,177.14,180.64,176.31,180.12,1000.0,0,0
2020-02-05,184.03,184.2,178.4101,179.9,1000.0,0,0
2020-02-06,180.97,183.8199,180.059,183.63,1000.0,0,0
2020-02-07,182.845,185.63,182.48,183.89,1000.0,0,0
2020-02-10,183.58,188.84,183.25,188.7,1000.0,0,0
2020-02-11,190.65,190.7,183.5,184.44,1000.0,0,0
2020-02-12,185.58,185.85,181.85,184.71,1000.0,0,0
2020-02-13,183.08,186.23,182.872,183.71,1000.0,0,0
2020-02-14,183.25,185.41,182.65,185.35,1000.0,0,0
2020-02-18,185.605,187.7,184.34,187.23,1000.0,0,0
2020-02-19,188.06,188.18,186.47,187.28,1000.0,0,0
2020-02-20,186.95,187.25,181.1,184.42,1000.0,0,0
2020-02-21,183.17,183.5,177.25,178.59,1000.0,0,0
2020-02-24,167.77,174.55,163.23,170.89,1000.0,0,0
2020-02-25,174.2,174.84,167.6462,168.07,1000.0,0,0
2020-02-26,169.71,173.26,168.21,170.17,1000.0,0,0
2020-02-27,163.32,167.03,157.98,158.18,1000.0,0,158.18
2020-02-28,152.41,163.71,152.0,162.01,1000.0,0,0
2020-03-02,165.31,172.92,162.31,172.79,1000.0,0,0
2020-03-03,173.8,175.0,162.26,164.51,1000.0,0,0
2020-03-04,168.485,170.7,165.62,170.55,1000.0,0,0
2020-03-05,166.045,170.87,165.69,166.27,1000.0,0,0
2020-03-06,162.61,163.11,156.0,161.57,1000.0,0,0
2020-03-09,151.0,157.75,150.0,150.58,1000.0,0,0
2020-03-10,158.16,161.03,152.58,160.92,1000.0,0,0
2020-03-11,157.13,157.7,151.15,153.63,1000.0,0,0
