Date,Open,High,Low,Close,Volume
01/02/2020,296.24,300.6,295.19,300.35,33920004
01/03/2020,297.15,300.58,296.5,297.43,36633995
01/06/2020,293.79,299.96,292.75,299.8,29644779
01/07/2020,299.84,300.9,297.48,298.39,27885664
01/08/2020,297.16,304.4399,297.156,303.19,33091741
01/09/2020,307.235,310.43,306.2,309.63,42625095
01/10/2020,310.6,312.67,308.25,310.33,35217665
01/13/2020,311.64,317.07,311.15,316.96,30522828
01/14/2020,316.7,317.57,312.17,312.68,40653854
01/15/2020,311.85,315.5,309.55,311.34,30482252
01/16/2020,313.59,315.7,312.09,315.24,27648235
01/17/2020,316.27,318.74,315,318.73,34454740
01/21/2020,317.19,319.02,316,316.57,27711083
01/22/2020,318.58,319.99,317.31,317.7,25458245
01/23/2020,317.92,319.56,315.65,319.23,26118353
01/24/2020,320.25,323.33,317.5188,318.31,36636199
01/27/2020,310.06,311.77,304.88,308.95,40489163
01/28/2020,312.6,318.4,312.19,317.69,40559147
01/29/2020,324.45,327.85,321.38,324.34,54150234
01/30/2020,320.5435,324.09,318.75,323.87,31686307
01/31/2020,320.93,322.68,308.29,309.51,49898233
02/03/2020,304.3,313.49,302.22,308.66,43503666
02/04/2020,315.31,319.64,313.6345,318.85,34154409
02/05/2020,323.52,324.76,318.95,321.45,29707604
02/06/2020,322.57,325.22,320.2648,325.21,26357211
02/07/2020,322.37,323.4,318,320.03,29422352
02/10/2020,314.18,321.55,313.85,321.55,27338795
02/11/2020,323.6,323.9,318.71,319.61,23581774
02/12/2020,321.47,327.22,321.47,327.2,28434424
02/13/2020,324.38,326.22,323.35,324.87,23928762
02/14/2020,324.74,325.98,322.85,324.95,20028499
02/18/2020,315.36,319.75,314.61,319,38195938
02/19/2020,320,324.57,320,323.62,23496268
02/20/2020,322.63,324.65,318.21,320.3,25641564
02/21/2020,318.62,320.45,310.5,313.05,32426415
02/24/2020,297.26,304.18,289.23,298.18,55652191
02/25/2020,300.95,302.53,286.13,288.08,57670139
02/26/2020,286.53,297.88,286.5,292.65,49680634
02/27/2020,281.1,286,272.96,273.52,80156758
02/28/2020,257.26,278.41,256.37,273.36,106725024
03/02/2020,282.28,301.44,277.72,298.81,85367181
03/03/2020,303.67,304,285.8,289.17,79878015
03/04/2020,296.44,303.4,293.13,302.74,55234161
03/05/2020,295.52,299.55,291.41,292.92,46894171
03/06/2020,282,290.82,281.23,288.95,56544791
03/09/2020,263.75,278.09,263,266.17,71687418
03/10/2020,277.14,286.44,269.37,285.34,71365968
03/11/2020,277.39,281.22,271.86,275.43,64095170
03/12/2020,255.94,270,248,248.23,104618759
03/13/2020,264.89,279.92,252.95,277.97,92722509
03/16/2020,241.95,259.08,240,242.21,80723546
03/17/2020,247.51,257.61,238.4,252.63,81016640
03/18/2020,239.77,250,237.12,246.67,75059273
03/19/2020,247.385,252.84,242.61,244.78,67987310
03/20/2020,247.18,251.83,228,229.24,100425982
03/23/2020,228.08,228.4997,212.61,224.37,84242403
03/24/2020,236.36,247.69,234.3,246.6,71889671
03/25/2020,250.75,258.25,244.3,245.52,75901026
03/26/2020,246.52,258.68,246.36,258.46,63140535
03/27/2020,252.75,255.87,247.05,247.74,51054174
03/30/2020,250.74,255.52,249.4,254.81,41995845
03/31/2020,255.6,262.49,252,254.29,49300561
04/01/2020,246.5,248.72,239.13,240.91,44061423
04/02/2020,240.34,245.15,236.9,244.93,41491365
04/03/2020,242.8,245.7,238.9741,241.41,32470218
04/06/2020,250.9,263.11,249.38,262.47,50455302
04/07/2020,270.8,271.7,259,259.43,50727647
04/08/2020,262.74,267.37,261.23,266.07,42224238
04/09/2020,268.7,270.07,264.7,267.99,40529173
04/13/2020,268.31,273.7,265.83,273.25,32755986
04/14/2020,280,288.25,278.05,287.05,48758939
04/15/2020,282.4,286.33,280.63,284.43,32800103
04/16/2020,287.38,288.1975,282.3502,286.69,39281320
04/17/2020,284.69,286.945,276.86,282.8,53815163
04/20/2020,277.95,281.68,276.85,276.93,32504209
04/21/2020,276.28,277.25,265.43,268.37,45248020
04/22/2020,273.61,277.9,272.2,275.76,29337351
04/23/2020,275.87,281.75,274.87,275.03,31205729
04/24/2020,277.2,283.01,277,282.97,31627239
04/27/2020,281.8,284.54,279.95,283.17,29272103
04/28/2020,285.08,285.83,278.2,278.58,28001192
04/29/2020,284.73,289.67,283.89,287.73,34320516
04/30/2020,289.96,294.53,288.35,293.949,45767139
05/01/2020,286.25,299,285.85,289.07,60189471
05/04/2020,289.17,293.69,286.3172,293.16,33442369
05/05/2020,295.06,301,294.46,297.56,36937829
05/06/2020,300.46,303.24,298.87,300.63,35583631
05/07/2020,303.22,305.17,301.97,303.74,28803839
05/08/2020,305.64,310.35,304.29,310.13,33511985
05/11/2020,308.1,317.05,307.24,315.01,36489092
05/12/2020,317.83,319.688,310.91,311.41,40576800
05/13/2020,312.15,315.95,303.21,307.65,50156237
05/14/2020,304.51,309.79,301.53,309.54,39732385
05/15/2020,300.35,307.9,300.21,307.691,42150755
05/18/2020,313.17,316.5,310.3241,314.96,33843328
05/19/2020,315.03,318.52,313.01,313.14,25432497
05/20/2020,316.68,319.52,316.2,319.23,27889322
05/21/2020,318.66,320.89,315.87,316.85,25751595
05/22/2020,315.77,319.23,315.35,318.89,20462228
05/26/2020,323.5,324.24,316.5,316.73,31380505
05/27/2020,316.14,318.71,313.09,318.11,28242401
05/28/2020,316.77,323.44,315.63,318.25,33449121
05/29/2020,319.25,321.15,316.47,317.94,38471781
06/01/2020,317.75,322.35,317.21,321.85,20268124
06/02/2020,320.745,323.44,318.93,323.34,21910704
06/03/2020,324.66,326.2,322.3,325.12,26123702
06/04/2020,324.39,325.62,320.78,322.32,21890092
06/05/2020,323.35,331.75,323.23,331.5,34414292
06/08/2020,330.25,333.6,327.32,333.58,23913861
06/09/2020,332.14,345.61,332.01,343.99,36930243
06/10/2020,347.9,354.77,346.09,352.84,41666592
06/11/2020,349.31,351.06,335.48,335.981,50424541
06/12/2020,344.72,347.8,334.2233,338.8,50037720
06/15/2020,333.25,345.68,332.58,342.99,35003230
06/16/2020,351.46,353.2,344.72,352.08,41357200
06/17/2020,355.19,355.4,351.09,351.59,28601908
06/18/2020,351.41,353.45,349.22,351.73,24205102
06/19/2020,354.635,356.56,345.15,349.72,66119038
06/22/2020,351.34,359.46,351.15,358.87,33861564
06/23/2020,364,372.38,362.2701,366.53,53259406
06/24/2020,365,368.79,358.52,360.06,48162999
06/25/2020,360.7,365,357.57,364.84,34380628
06/26/2020,364.41,365.32,353.02,353.63,51328982
06/29/2020,353.25,362.1736,351.28,361.78,32661952
06/30/2020,360.08,365.98,360,364.8,35055916
