Date,Open,High,Low,Close,Volume
2020-01-02,158.78,160.73,158.33,160.62,22634742
2020-01-03,158.32,159.945,158.06,158.62,21121681
2020-01-06,157.08,159.1,156.51,159.03,20827251
2020-01-07,159.32,159.67,157.32,157.58,21881759
2020-01-08,158.93,160.8,157.9491,160.09,27762126
2020-01-09,161.835,162.215,161.03,162.09,21400194
2020-01-10,162.8235,163.22,161.18,161.34,21109422
2020-01-13,161.76,163.31,161.26,163.28,21637984
2020-01-14,163.25,163.6,161.72,162.13,23500793
2020-01-15,162.62,163.94,162.57,163.18,21418641
2020-01-16,164.35,166.24,164.03,166.17,23865761
2020-01-17,167.42,167.4675,165.43,167.1,34771790
2020-01-21,166.68,168.19,166.43,166.5,29541911
2020-01-22,167.4,167.49,165.68,165.7,24139026
2020-01-23,166.19,166.8,165.27,166.72,19680766
2020-01-24,167.51,167.53,164.45,165.04,24918717
2020-01-27,161.15,163.375,160.2,162.28,32113287
2020-01-28,163.78,165.755,163.073,165.46,24900054
2020-01-29,167.84,168.75,165.69,168.04,35127841
2020-01-30,174.05,174.05,170.79,172.78,51598681
2020-01-31,172.21,172.4,169.58,170.23,36142809
2020-02-03,170.43,174.5,170.4,174.38,30149875
2020-02-04,177.14,180.64,176.31,180.12,36433374
2020-02-05,184.03,184.2,178.4101,179.9,39186674
2020-02-06,180.97,183.8199,180.059,183.63,27756128
2020-02-07,182.845,185.63,182.48,183.89,33529084
2020-02-10,183.58,188.84,183.25,188.7,35844342
2020-02-11,190.65,190.7,183.5,184.44,53161455
2020-02-12,185.58,185.85,181.85,184.71,47078131
2020-02-13,183.08,186.23,182.872,183.71,35295834
2020-02-14,183.25,185.41,182.65,185.35,23149716
2020-02-18,185.605,187.7,184.34,187.23,27854794
2020-02-19,188.06,188.18,186.47,187.28,29997471
2020-02-20,186.95,187.25,181.1,184.42,36862608
2020-02-21,183.17,183.5,177.25,178.59,48623681
2020-02-24,167.77,174.55,163.23,170.89,68312367
2020-02-25,174.2,174.84,167.6462,168.07,68073512
2020-02-26,169.71,173.26,168.21,170.17,56388043
2020-02-27,163.32,167.03,157.98,158.18,93175914
2020-02-28,152.41,163.71,152,162.01,97124619
2020-03-02,165.31,172.92,162.31,172.79,71108311
2020-03-03,173.8,175,162.26,164.51,71679110
2020-03-04,168.485,170.7,165.62,170.55,50594270
2020-03-05,166.045,170.87,165.69,166.27,47817612
2020-03-06,162.61,163.11,156,161.57,72821542
2020-03-09,151,157.75,150,150.58,70419416
2020-03-10,158.16,161.03,152.58,160.92,65354439
2020-03-11,157.13,157.7,151.15,153.63,56504345
2020-03-12,145.3,153.47,138.58,139.06,93231988
2020-03-13,147.5,161.91,140.73,158.8438,92789858
2020-03-16,140,149.35,135,135.42,88245902
2020-03-17,140,147.4998,135,146.57,81059827
2020-03-18,138,146,135.02,143.6038,81593273
2020-03-19,142.77,150.15,139,143,85935177
2020-03-20,146,147.1,135.86,137.35,84866265
2020-03-23,137.01,140.57,132.52,135.98,79059088
2020-03-24,143.75,149.6,141.27,148.38,82576889
2020-03-25,148.91,154.33,144.44,146.92,75638421
2020-03-26,148.4,156.66,148.37,155.88,64705520
2020-03-27,151.75,154.89,149.2,149.7,57042493
2020-03-30,152.44,160.6,150.01,160.23,63428959
2020-03-31,159.4,164.78,156.56,157.71,77963862
2020-04-01,153,157.75,150.82,152.11,57975642
2020-04-02,151.86,155.48,150.36,155.26,49630906
2020-04-03,155.1,157.38,152.19,153.9,41244752
2020-04-06,160.32,166.5,157.58,165.33,67112005
2020-04-07,169.585,170,163.26,163.49,62780396
2020-04-08,165.67,166.67,163.5,165.13,48318264
2020-04-09,166.36,167.37,163.33,165.14,51432115
2020-04-13,164.35,165.57,162.3,165.51,41905323
2020-04-14,169,173.75,168,173.7,52892782
2020-04-15,171.2,173.57,169.24,171.88,40943658
2020-04-16,174.3,177.28,172.9,177.04,50479610
2020-04-17,179.5,180,175.87,178.6,52765736
2020-04-20,176.61,178.75,174.99,175.06,36669670
2020-04-21,173.5,173.6699,166.1102,167.82,56203764
2020-04-22,171.39,174,170.82,173.52,34656472
2020-04-23,174.11,175.06,170.91,171.42,32791413
2020-04-24,172.06,174.56,170.71,174.55,34305441
2020-04-27,176.59,176.9,173.3,174.05,33194394
2020-04-28,175.59,175.67,169.39,169.81,34392804
2020-04-29,173.22,177.68,171.88,177.43,52286891
2020-04-30,180,180.4,176.23,179.129,53876163
2020-05-01,175.8,178.64,174.01,174.57,39434147
2020-05-04,174.49,179,173.8,178.84,30373894
2020-05-05,180.62,183.65,179.9,180.76,36846911
2020-05-06,182,184.2,181.6306,182.54,32172100
2020-05-07,184.17,186.5,182.58,183.6,28329612
2020-05-08,184.9797,185,183.36,184.68,30926659
2020-05-11,183.15,187.51,182.85,186.74,30892699
2020-05-12,186.8,187.04,182.3,182.51,32038754
2020-05-13,182.55,184.05,176.54,179.75,44712718
2020-05-14,177.54,180.69,175.68,180.53,41874711
2020-05-15,179.06,187.06,177,183.16,46626183
2020-05-18,185.75,186.2,183.96,184.91,35315457
2020-05-19,185.03,186.6,183.49,183.63,26806336
2020-05-20,184.81,185.85,183.94,185.66,31261554
2020-05-21,185.4,186.67,183.29,183.43,29120069
2020-05-22,183.25,184.46,182.54,183.51,20826898
2020-05-26,186.34,186.5,181.1,181.57,36073745
2020-05-27,180.2,181.9877,176.6,181.81,39519442
2020-05-28,180.74,184.1474,180.38,181.4,33870644
2020-05-29,182.73,184.27,180.41,183.25,42384056
2020-06-01,182.54,183,181.46,182.83,22696787
2020-06-02,184.25,185,181.35,184.91,30806210
2020-06-03,184.815,185.94,183.58,185.36,27318781
2020-06-04,184.3,185.84,182.3,182.92,28780809
2020-06-05,182.62,187.73,182.01,187.2,39893891
2020-06-08,185.94,188.55,184.44,188.36,33220708
2020-06-09,188,190.7,187.2605,189.8,29785478
2020-06-10,191.125,198.52,191.01,196.84,43879362
2020-06-11,193.13,195.76,186.07,186.27,52875081
2020-06-12,190.54,191.72,185.18,187.74,43374087
2020-06-15,184.58,190.82,184.01,188.94,32772776
2020-06-16,192.89,195.58,191.46,193.57,42556666
2020-06-17,195.03,196.32,193.69,194.24,25687823
2020-06-18,194.06,196.49,194,196.32,23062335
2020-06-19,198.59,199.29,194.37,195.15,44445523
2020-06-22,195.79,200.76,195.2301,200.57,32819194
2020-06-23,202.09,203.95,201.425,201.91,30917709
