Date,Open,High,Low,Close,Volume
2020-01-02,424.5,430.6957,421.71,430.26,9558410
2020-01-03,440.5,454,436.92,443.01,17801880
2020-01-06,440.47,451.56,440,451.5,10174685
2020-01-07,461.4,471.63,453.355,469.06,18214838
2020-01-08,473.7,498.49,468.23,492.14,31235728
2020-01-09,497.1,498.8,472.87,481.34,28488103
2020-01-10,481.79,484.94,473.7,478.15,12982446
2020-01-13,493.5,525.63,492,524.86,26638003
2020-01-14,544.255,547.41,524.9,537.92,29105836
2020-01-15,529.76,537.84,516.7853,518.5,17368901
2020-01-16,493.75,514.46,492.17,513.49,21737394
2020-01-17,507.61,515.6699,503.16,510.5,13667901
2020-01-21,530.25,548.58,528.41,547.2,17803471
2020-01-22,571.89,594.5,559.1,569.56,31408974
2020-01-23,564.25,582,555.6027,572.2,19706029
2020-01-24,570.63,573.86,554.26,564.82,14354157
2020-01-27,541.99,564.44,539.28,558.02,13637136
2020-01-28,568.49,576.81,558.08,566.9,11791398
2020-01-29,575.69,589.7999,567.43,580.99,18217956
2020-01-30,632.24,650.88,618,640.81,29087032
2020-01-31,638.595,653,632.52,650.57,15724989
2020-02-03,673.69,786.14,673.52,780,47316151
2020-02-04,882.96,968.9899,833.88,887.06,61049460
2020-02-05,823.26,845.98,704.1106,734.7,48453586
2020-02-06,699.92,795.83,687,748.96,39881797
2020-02-07,730.55,769.75,730,748.07,17132210
2020-02-10,800,819.99,752.4,771.28,24715423
2020-02-11,768.79,783.5061,758,774.38,11697523
2020-02-12,777.87,789.75,763.37,767.29,12038070
2020-02-13,741.84,818,735,804,26289354
2020-02-14,787.22,812.97,785.5,800.03,15706911
2020-02-18,841.6,860,832.36,858.4,16701060
2020-02-19,923.5,944.78,901.02,917.42,25430664
2020-02-20,911.95,912,859.94,899.41,17635067
2020-02-21,906.98,913.06,880.45,901,14339859
2020-02-24,839,863.5,822.2,833.79,15192274
2020-02-25,849,856.6,787,799.91,17323981
2020-02-26,782.5,813.31,776.11,778.8,14163418
2020-02-27,730,739.77,669,679,24277903
2020-02-28,629.7,690.52,611.52,667.99,24571473
2020-03-02,711.26,743.69,686.67,743.62,20204181
2020-03-03,805,806.98,716.1106,745.51,25794609
2020-03-04,763.9603,766.52,724.7345,749.5,15049036
2020-03-05,723.77,745.75,718.07,724.54,10854217
2020-03-06,690.0035,707,684.27,703.48,12663318
2020-03-09,606.26,662.998,605,608,17103201
2020-03-10,659.43,668,608,645.33,15594488
2020-03-11,640.2,653.58,613,634.23,13458045
2020-03-12,580.89,594.5,546.25,560.55,18922114
2020-03-13,595,607.57,502,546.62,22641801
2020-03-16,469.4997,494.8699,442.17,445.07,20501540
2020-03-17,440.01,471.85,396,430.2,24042296
2020-03-18,389,404.86,350.51,361.22,23789229
2020-03-19,374.6965,452,358.46,427.64,30218080
2020-03-20,438.2,477,425.79,427.53,28292502
2020-03-23,433.6,441.9999,410.5,434.29,16494149
2020-03-24,477.3,513.69,474,505,22932710
2020-03-25,545.25,557,511.11,539.25,21222815
2020-03-26,547.39,560,512.25,528.16,17427963
2020-03-27,505,525.8,494.03,514.36,14382139
2020-03-30,510.26,516.6471,491.23,502.13,11998474
2020-03-31,501.25,542.96,497,524,17836295
2020-04-01,504,513.9548,475.1,481.56,13357018
2020-04-02,481.03,494.2599,446.4,454.47,19858727
2020-04-03,509.5,515.49,468.3901,480.01,22562279
2020-04-06,511.2,521,497.96,516.24,14951936
2020-04-07,545,565,532.34,545.45,17919978
2020-04-08,554.2,557.2081,533.33,548.84,12656024
2020-04-09,562.09,575.1818,557.11,573,13650000
2020-04-13,590.16,652,580.53,650.95,22475444
2020-04-14,698.97,741.88,692.43,709.89,30576667
2020-04-15,742,753.13,710,729.83,23659403
2020-04-16,716.94,759.45,706.715,745.21,20657864
2020-04-17,772.28,774.95,747.66,753.89,13128243
2020-04-20,732.71,765.57,712.21,746.36,14752777
2020-04-21,730.12,753.33,673.79,686.72,20221693
2020-04-22,703.98,734,688.71,732.11,14224832
2020-04-23,727.6,734,703.13,705.63,13236698
2020-04-24,710.81,730.73,698.18,725.15,13237637
2020-04-27,737.61,799.49,735,798.75,20681442
2020-04-28,795.64,805,756.69,769.12,15222719
2020-04-29,790.17,803.1999,783.16,800.51,16223632
2020-04-30,855.19,869.82,763.5,781.88,28477961
2020-05-01,755,772.77,683.04,701.32,32544885
2020-05-04,701,762,698,761.19,19237103
2020-05-05,789.79,798.92,762.18,768.21,16991656
2020-05-06,776.5,789.8,761.11,782.58,11123240
2020-05-07,777.21,796.4,772.35,780.04,11527736
2020-05-08,793.77,824,787.01,819.42,16152669
2020-05-11,790.51,824,785,811.29,16520136
2020-05-12,827.02,843.29,808,809.41,15906905
2020-05-13,820.83,826,763.3,790.96,19065491
2020-05-14,780,803.36,764,803.33,13682188
2020-05-15,790.35,805.0486,786.552,799.17,10521597
2020-05-18,827.78,834.7201,803.88,813.63,11698114
2020-05-19,815.17,822.07,806.08,808,9637522
2020-05-20,820.5,826,811.8,815.56,7309273
2020-05-21,816,832.5,796,827.6,12255188
2020-05-22,822.1735,831.78,812,816.88,9987475
2020-05-26,834.3625,834.6,815.705,818.87,8216486
2020-05-27,820.86,827.71,785,820.23,11558468
2020-05-28,813.51,824.75,801.69,805.81,7275819
2020-05-29,808.75,835,804.21,835,11813068
2020-06-01,858,899,854.1,898.1,15086239
2020-06-02,894.7,908.66,871,881.56,13565696
2020-06-03,888.12,897.94,880.1,882.96,7949469
2020-06-04,889.88,895.75,858.44,864.38,8890713
2020-06-05,877.84,886.52,866.2,885.66,7811978
2020-06-08,919,950,909.16,949.92,14174727
2020-06-09,940.01,954.4399,923.931,940.67,11389453
2020-06-10,991.88,1027.48,982.5,1025.05,18563548
2020-06-11,990.2,1018.9599,972,972.84,15934620
2020-06-12,980,987.98,912.6,935.28,16763374
2020-06-15,917.79,998.84,908.5,990.9,15697433
2020-06-16,1011.85,1012.88,962.39,982.13,14051116
2020-06-17,987.71,1005,982.571,991.79,9890800
2020-06-18,1003,1019.2,994.4708,1003.96,9755748
2020-06-19,1012.78,1015.9699,991.34,1000.9,8679749
2020-06-22,999.95,1008.88,990.02,994.32,6362350
2020-06-23,998.88,1012,994.0101,1001.78,6365271
2020-06-24,994.11,1000.8846,953.1414,960.85,10959593
2020-06-25,954.27,985.98,937.15,985.98,9262550
2020-06-26,994.78,995,954.87,959.74,8854958
2020-06-29,969.01,1010,948.5201,1009.35,9027408
2020-06-30,1006.5,1087.69,1003.73,1079.81,16918501
2020-07-01,1083,1135.33,1080.5,1119.63,13326897
2020-07-02,1221.48,1228,1185.6,1208.66,17250127
2020-07-06,1276.69,1377.79,1266.044,1371.58,20570284
2020-07-07,1405.01,1429.5,1336.71,1389.86,21493299
2020-07-08,1405,1417.26,1311.34,1365.88,16319833
2020-07-09,1396.99,1408.56,1351.28,1394.28,11717710
2020-07-10,1396,1548.915,1376.0101,1544.65,23346353
2020-07-13,1659,1794.99,1471.1101,1497.06,38996185
2020-07-14,1556,1590,1431,1516.8,23429302
2020-07-15,1543,1550,1457,1546.01,16368689
2020-07-16,1477.16,1531.71,1466,1500.64,14300795
2020-07-17,1513.45,1537.51,1490,1500.84,9332637
2020-07-20,1519.01,1650,1488,1643,17140645
2020-07-21,1639.93,1675,1558,1568.36,16193302
2020-07-22,1599,1626.42,1562,1592.33,14161512
2020-07-23,1678.95,1689,1480.77,1513.07,24328697
2020-07-24,1416.01,1465,1366.5401,1417,19397409
2020-07-27,1435,1547.94,1413.0003,1539.6,16048671
2020-07-28,1504,1564.7,1474.42,1476.49,15808711
2020-07-29,1501,1534.81,1487,1499.11,9426893
2020-07-30,1488,1513.24,1471,1487.49,7621111
2020-07-31,1515,1517.05,1420.98,1430.76,12247338
2020-08-03,1449.2,1509.8101,1444.3844,1485,8809359
2020-08-04,1495.01,1527.41,1462,1487,8410015
2020-08-05,1492.99,1499.8384,1468.31,1485.02,4978015
2020-08-06,1490.83,1517.31,1477.26,1489.58,5992313
2020-08-07,1499.5365,1499.75,1415.01,1452.71,8897817
2020-08-10,1448,1457.5,1385.84,1418.57,7522264
2020-08-11,1396,1420,1365,1374.39,8625840
2020-08-12,1470,1585,1435,1554.76,21899106
2020-08-13,1611,1651.18,1567.26,1621,20426710
2020-08-14,1664.99,1668.8,1626.64,1650.71,12577786
2020-08-17,1677,1845.86,1672.83,1835.64,20242597
2020-08-18,1898.99,1923.9,1845.11,1887.09,16481492
2020-08-19,1865,1911,1841.21,1878.53,12205473
